,glasses,sunglasses,head_band,facemask,scarf,smile,light_colored_skin_tone,dark_colored_skin_tone,red_lipstick,heavy_makeup,blue_hair,red_hair,blond_hair,shoulder_length_hair,pigtails,buzz_cut,bald,goatee,mustache,thick_beard,face_with_lighter_skin_tone
glasses,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunglasses,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head_band,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
facemask,-1,-1,-1,1,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1
scarf,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
smile,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
light_colored_skin_tone,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
dark_colored_skin_tone,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
red_lipstick,-1,-1,-1,-1,-1,-1,-1,-1,1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heavy_makeup,-1,-1,-1,-1,-1,-1,-2,-2,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2
blue_hair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,-1
red_hair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,-1,-1,-1,-1
blond_hair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1
shoulder_length_hair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1
pigtails,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
buzz_cut,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1
bald,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1
goatee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-2,-1,-1
mustache,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-2,-1
thick_beard,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,1,-1
