,white_woman,black_woman,white_man,asian_woman,indian_man,indian_woman,asian_man,black_man
blond_hair,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,claude
bald,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
mustache,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,claude,gemini
buzz_cut,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
thick_beard,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
red_hair,gpt4o,gpt4o,gpt4o,gemini,gpt4o,gpt4o,gpt4o,gpt4o
goatee,gpt4o,gpt4o,gpt4o,gpt4o,gemini,gpt4o,gpt4o,gpt4o
pigtails,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
heavy_makeup,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
shoulder_length_hair,gpt4o,gemini,gpt4o,gpt4o,gpt4o,gpt4o,claude,gpt4o
blue_hair,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
head_band,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
smile,claude,claude,gpt4o,claude,gpt4o,claude,claude,claude
red_lipstick,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
scarf,claude,gpt4o,gpt4o,gpt4o,claude,gpt4o,gpt4o,gpt4o
glasses,gpt4o,gpt4o,gpt4o,claude,gpt4o,gpt4o,gpt4o,gpt4o
sunglasses,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
facemask,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o
